K,RC,RC,F,K,MCS,K
C,KX,C,B,C,PCA,C
D,R,R,B,D,FSK,R
M,RC,M,B,RC,WS,M
DC,K,DC,B,K,EG,K
KX,R,KX,B,R,SMS,R
D,DC,DC,B,D,RGIS,D
C,M,M,F,C,MACS,M
DC,R,R,F,R,RGIS,R
KX,M,M,F,KX,PCA,M
R,RC,R,F,R,MCS,R
C,K,K,B,C,MACS,K
DC,M,DC,F,DC,DYP,M
D,KX,D,B,KX,PCA,KX
C,RC,C,B,C,MCS,C
K,M,K,B,M,EG,K
D,RC,RC,F,D,FSK,RC
DC,KX,KX,F,KX,RGIS,KX
K,R,R,B,R,SMS,K
C,D,C,B,D,MACS,C
DC,RC,DC,B,RC,RGIS,RC
K,KX,KX,B,KX,PCA,K
D,M,D,F,M,DYP,M
C,R,C,B,R,SMS,C
KX,RC,KX,F,KX,MCS,RC
C,DC,DC,F,DC,MACS,C
R,M,M,F,M,DYP,M
C,D,C,F,C,FSK,C
K,RC,K,B,K,EG,K
DC,R,R,F,R,SMS,R
M,RC,M,F,M,MCS,M
C,KX,KX,F,C,MACS,C
DC,K,K,B,K,RGIS,K
D,R,R,F,R,SMS,R
KX,RC,RC,B,KX,PCA,RC
D,K,K,B,K,EG,K
C,M,M,F,M,WS,M
KX,R,R,F,KX,PCA,R
D,DC,DC,F,D,FSK,D
K,M,M,F,M,WS,K
D,KX,D,B,KX,FSK,KX
R,RC,RC,F,R,SMS,R
DC,M,DC,F,M,RGIS,M
C,K,K,B,C,EG,K
D,RC,D,F,D,MCS,RC
K,R,R,F,R,EG,K
KX,M,M,F,KX,WS,M
C,RC,RC,B,RC,MACS,C
DC,KX,KX,F,KX,PCA,KX
D,M,D,F,D,FSK,M
C,R,R,B,R,MACS,C
DC,RC,DC,F,RC,MCS,RC
K,KX,KX,B,K,EG,K
M,R,R,F,R,SMS,M
C,DC,DC,B,C,RGIS,C
D,R,D,F,R,WS,R
C,KX,KX,B,C,WS,C
C,R,R,F,R,DYP,C
C,M,C,F,M,NL,M
R,RC,RC,B,RC,NL,R
D,KX,D,F,D,NL,KX
DC,K,K,B,DC,NL,K
C,RC,C,B,C,SGP,C
K,KX,K,F,K,KM,K
DC,RC,DC,B,DC,NL,RC
C,D,D,B,D,KM,C
K,R,K,F,R,NL,K
KX,RC,RC,B,KX,KM,RC
DC,M,DC,B,DC,KM,M
D,RC,RC,B,D,SGP,RC
KX,R,KX,B,KX,NL,R
C,DC,DC,F,DC,KM,C
K,M,M,B,M,SGP,K
D,R,D,B,R,SSP,R
K,RC,K,B,RC,KM,K
KX,M,KX,B,KX,KM,M
D,DC,D,F,D,SSP,D
C,R,R,F,C,SSP,C
K,M,M,B,M,BP,K
KX,RC,RC,B,RC,KM,RC
DC,R,DC,B,R,SGP,R
C,D,D,F,C,NWS,C
K,KX,K,B,KX,SGP,K
M,RC,M,B,RC,NWS,M
C,DC,C,B,C,BP,C
KX,R,KX,F,R,KM,R
D,K,K,B,D,KM,K
DC,M,DC,B,DC,SSP,M
R,RC,R,F,R,SSP,R
C,KX,C,B,C,SSP,C
D,M,M,B,D,BP,M
DC,KX,KX,F,KX,DBD,KX
C,R,R,B,C,DBD,C
M,RC,M,B,M,SGP,M
D,K,D,F,D,NWS,K
DC,R,DC,B,DC,DBD,R
K,RC,RC,F,RC,SSP,K
KX,M,KX,B,M,SSP,M
D,DC,DC,F,D,KM,D
C,RC,C,B,RC,KM,C
M,R,R,B,R,KM,M
D,KX,KX,F,KX,OO,KX
C,M,M,B,C,SGP,M
DC,K,DC,F,DC,NWS,K
DC,KX,DC,F,KX,NWS,KX
D,R,D,B,D,OO,R
C,K,C,B,K,SSP,K
D,RC,D,B,RC,NWS,RC
K,R,K,F,K,KM,K
C,KX,C,B,C,KM,C
D,M,D,F,D,SSP,M
DC,RC,RC,B,RC,SSP,RC
D,DC,DC,F,DC,SSP,D
C,RC,RC,F,RC,NWS,C
DC,RC,RC,F,DC,NWS,RC
DC,K,DC,F,K,DYP,K
M,R,M,B,M,BS,M
D,KX,D,F,D,PCA,KX
K,RC,K,F,K,EG,K
C,DC,DC,B,DC,MACS,C
D,R,D,F,D,SPS,R
KX,RC,KX,B,RC,MCS,RC
C,K,C,B,C,EG,K
D,M,D,F,M,FSK,M
R,RC,RC,F,RC,MCS,R
C,D,D,B,C,FSK,C
DC,KX,KX,F,DC,BBS,KX
K,R,R,B,R,SPS,K
M,RC,M,B,RC,BS,M
D,DC,DC,B,DC,BBS,D
C,KX,C,F,KX,MACS,C
M,K,K,B,M,BS,K
C,RC,C,F,RC,MCS,C
KX,R,KX,F,R,PCA,R
C,M,M,F,M,BS,M
DC,R,DC,B,R,SPS,R
K,KX,K,B,K,PCA,K
D,RC,RC,F,D,MCS,RC
C,R,R,B,R,SPS,C
DC,M,DC,F,M,DYP,M
D,K,D,B,D,FSK,K
KX,M,M,F,M,BS,M
C,RC,RC,B,C,MACS,C
D,R,D,B,D,FSK,R
DC,K,K,B,K,EG,K
KX,RC,KX,B,RC,PCA,RC
C,R,C,B,C,MACS,C
DC,M,M,B,M,BS,M
K,KX,K,B,KX,EG,K
D,RC,D,B,D,FSK,RC
DC,R,R,B,R,VCA,R
C,M,C,B,C,MACS,M
KX,R,KX,B,R,SMS,R
D,K,K,B,K,EG,K
DC,RC,DC,F,DC,MCS,RC
KX,M,M,B,KX,PCA,M
C,DC,C,B,DC,VCA,C
K,RC,RC,F,RC,MCS,K
D,KX,D,B,KX,FSK,KX
M,R,R,F,M,SMS,M
DC,RC,RC,F,DC,VCA,RC
D,M,M,B,M,BS,M
C,K,K,B,C,MACS,K
R,RC,R,B,RC,SMS,R
C,D,C,B,D,MACS,C
DC,KX,DC,F,DC,HPC,KX
M,RC,RC,F,M,MCS,M
K,R,R,B,K,EG,R
C,KX,C,F,C,HPC,C
D,DC,DC,B,DC,FSK,D
K,M,M,B,K,EG,K
M,RC,M,B,M,DYP,M
C,DC,C,B,C,DYP,C
DC,RC,DC,B,RC,DYP,RC
C,M,C,B,C,DYP,M
C,K,C,B,C,MACS,K
DC,R,R,F,R,RGIS,R
KT,RC,KT,B,RC,NS,RC
D,M,D,B,M,FSK,M
KX,P,KX,B,P,DYP,KX
DC,K,K,B,K,EG,K
D,R,D,B,R,SMS,R
M,RC,M,F,M,MCS,M
C,KX,KX,F,KX,PCA,C
KT,P,KT,B,P,DYP,P
DC,RC,RC,F,DC,RGIS,RC
K,R,K,F,K,SMS,K
KT,M,KT,F,KT,WS,M
C,RC,C,B,C,MACS,C
DC,KX,KX,F,KX,RGIS,KX
D,P,D,F,D,DYP,P
K,R,K,F,K,EG,K
C,KT,KT,F,KT,NS,C
D,DC,DC,B,DC,FSK,D
M,P,P,B,M,WS,M
K,KT,K,F,KT,EG,K
KX,R,R,F,KX,PCA,R
C,M,C,F,M,WS,M
K,RC,RC,F,RC,EG,K
D,KX,KX,F,D,FSK,KX
DC,M,DC,F,M,RGIS,M
KT,R,R,F,R,SMS,R
C,P,P,F,C,MACS,C
D,RC,RC,F,RC,FSK,RC
C,P,P,B,C,DYP,C
DC,KT,KT,F,DC,NS,DC
D,K,D,F,K,FSK,K
M,R,R,F,R,SMS,M
P,RC,P,F,RC,MCS,RC
D,KT,D,B,D,NS,D
K,KX,K,F,K,EG,K
P,R,R,F,R,SMS,R
C,DC,C,B,C,MACS,C
KX,M,KX,F,M,WS,M
D,KT,KT,F,KT,FSK,D
DC,K,DC,F,K,RGIS,K
C,R,R,B,C,MACS,C
M,P,P,F,M,DYP,M
K,KT,K,F,KT,NS,K
D,DC,D,F,D,RGIS,D
KX,RC,KX,F,RC,MCS,RC
C,K,C,B,K,EG,K
D,M,D,F,M,WS,M
KT,RC,KT,B,RC,MCS,RC
KX,P,KX,B,P,PCA,KX
C,R,R,F,C,SMS,C
DC,P,DC,B,P,RGIS,P
KX,M,M,F,KX,PCA,M
R,RC,RC,F,RC,SMS,R
C,D,C,B,C,MACS,C
KT,KX,KX,F,KX,HCS,KX
K,RC,RC,F,RC,MCS,K
DC,M,DC,B,DC,WS,M
D,KX,D,F,KX,HPC,KX
KT,R,KT,F,KT,HCS,R
DC,P,DC,F,DC,DYP,P
KX,RC,KX,B,KX,HPC,RC
C,KT,C,B,C,MACS,C
K,P,K,F,K,DYP,K
M,R,M,B,R,WS,M
DC,KX,KX,F,DC,HPC,KX
D,P,D,B,X,FSK,P
C,RC,RC,F,RC,MCS,C
K,M,M,F,M,EG,K
C,RC,C,F,C,WS,C
K,M,M,F,M,WS,K
M,RC,M,F,RC,MACS,M
C,RC,C,B,C,MACS,C
C,M,M,F,M,MACS,M
D,K,D,F,D,EG,K
M,P,M,F,P,WS,M
KX,R,KX,F,R,SMS,R
D,RC,D,F,RC,MCS,RC
C,DC,DC,F,C,YSR,C
K,R,K,F,R,SMS,K
KX,P,P,B,P,SRS,KX
DC,M,DC,B,M,YSR,M
K,RC,RC,F,K,MCS,K
C,D,D,F,D,FSK,C
M,R,R,F,M,WS,M
C,RC,RC,B,C,MACS,C
KX,P,KX,F,KX,PCA,KX
K,R,R,B,K,EG,K
D,DC,DC,B,D,FSK,D
C,P,C,B,P,SRS,C
K,KX,K,F,KX,EG,K
R,RC,R,B,R,MCS,R
D,M,D,F,D,WS,M
DC,R,DC,B,R,SMS,R
P,RC,P,B,RC,MCS,RC
K,KX,KX,B,K,PCA,K
D,DC,DC,B,D,RGIS,D
C,P,P,F,C,MACS,C
KX,RC,RC,F,RC,PCA,RC
C,R,R,B,C,MACS,C
D,P,D,F,P,FSK,P
KX,M,M,B,KX,WS,M
DC,K,K,F,K,BBS,K
R,RC,R,F,RC,SMS,R
D,P,P,B,D,SRS,P
KX,M,KX,B,M,PCA,M
DC,P,DC,B,DC,SRS,P
D,M,M,F,D,FSK,M
C,KX,KX,B,KX,MACS,C
K,RC,K,B,K,EG,K
D,R,D,B,D,FSK,R
DC,M,M,F,M,WS,M
C,K,C,B,K,MACS,K
DC,P,DC,B,DC,BBS,P
D,R,R,B,D,SMS,R
KX,RC,KX,F,KX,MCS,RC
M,P,M,B,M,SRS,M
C,DC,C,B,C,MACS,C
K,P,K,B,K,EG,K
KX,R,R,B,R,PCA,R
C,M,M,F,M,WS,C
DC,RC,RC,F,RC,MCS,RC
D,K,D,B,K,FSK,K
P,R,P,B,R,SRS,R
DC,KX,DC,F,KX,RGIS,KX
M,RC,RC,F,RC,WS,M
C,R,C,F,C,SMS,C
P,RC,P,F,RC,SRS,RC
K,M,M,B,M,EG,K
C,D,C,F,C,MACS,C
P,R,R,B,R,SMS,R
DC,KX,DC,B,KX,PCA,KX
M,RC,M,F,M,MCS,M
C,K,C,F,C,EG,K
D,KX,KX,B,D,FSK,KX
K,M,M,F,K,WS,K
C,KX,KX,F,KX,HPC,C
D,RC,D,F,RC,FSK,RC
DC,R,R,B,DC,RGIS,R
D,KX,D,F,D,HPC,KX
K,P,K,B,K,SRS,K
DC,RC,RC,F,DC,RGIS,RC
M,R,R,B,M,SMS,M
D,K,K,B,K,SRS,K
C,M,M,F,C,MCS,M
C,D,D,F,C,MACS,C
C,K,C,B,K,MACS,K
D,K,K,F,K,EG,K
M,RC,M,F,RC,MCS,M
P,S,P,F,S,RGIS,P
D,R,R,B,R,FSK,R
C,M,M,B,M,MACS,M
KX,P,P,B,KX,SRS,KX
RC,S,RC,B,S,RGIS,RC
K,R,K,F,R,SMS,K
D,M,M,B,M,WS,M
C,KX,C,F,C,PCA,C
K,RC,RC,F,RC,MCS,K
P,R,R,B,P,SRS,R
D,S,D,B,S,FSK,D
M,P,M,B,M,WS,M
C,RC,C,F,C,MACS,C
K,S,K,B,K,EG,K
KX,R,R,F,R,SMS,R
C,P,P,B,P,MACS,C
K,KX,K,F,KX,PCA,K
D,RC,RC,F,RC,MCS,RC
P,S,P,F,S,SRS,P
M,R,R,B,R,SMS,M
C,D,C,B,C,FSK,C
KX,S,KX,B,S,RGIS,KX
C,K,K,B,C,EG,K
R,RC,RC,F,RC,MCS,R
D,M,M,B,D,FSK,M
KX,P,KX,F,KX,PCA,KX
C,R,R,B,C,MACS,C
P,RC,P,F,RC,MCS,RC
D,KX,D,F,KX,HPC,KX
K,M,K,B,M,EG,K
C,S,S,B,C,MACS,C
K,KX,KX,B,K,EG,K
R,S,S,B,R,SMS,R
M,RC,M,B,M,WS,M
C,K,K,F,C,MACS,K
D,P,P,F,D,SVN,P
R,RC,R,F,R,SMS,R
KX,M,M,B,M,WS,M
C,P,C,B,C,SRS,C
M,S,M,B,S,RGIS,M
D,K,K,B,D,SVN,K
C,KX,C,B,C,MACS,C
P,RC,RC,B,RC,SRS,RC
K,R,R,B,K,EG,K
D,S,D,B,S,RGIS,D
KX,RC,KX,F,KX,MCS,RC
C,M,M,B,M,WS,M
P,R,P,B,R,SMS,R
RC,S,S,B,RC,MCS,RC
D,R,D,B,R,SMS,R
K,M,M,B,M,WS,K
C,S,S,F,C,RGIS,C
KX,R,R,F,R,PCA,R
K,P,K,B,K,SRS,K
D,RC,D,F,RC,FSK,RC
M,P,P,B,M,SRS,M
KX,S,KX,F,S,PCA,KX
K,RC,K,F,K,JSCA,K
C,R,R,F,R,SMS,C
D,KX,KX,F,KX,FSK,KX
M,S,S,B,M,WS,M
K,P,K,F,P,JSCA,K
C,D,C,B,C,MACS,C
M,R,R,F,M,WS,M
KX,RC,KX,F,KX,PCA,RC
R,S,S,B,S,RGIS,R
KX,M,M,F,KX,HPC,M
D,P,P,B,P,SRS,P
C,RC,C,F,RC,MCS,C
K,S,K,B,S,RGIS,K
C,M,C,B,C,FSK,M
R,S,S,B,R,FSK,R
M,R,R,B,M,EG,M
C,M,M,B,M,EG,M
K,M,K,B,K,SZS,K
D,RC,RC,F,RC,SCS,RC
C,KX,C,B,KX,SZS,C
R,S,R,F,R,SZS,R
M,RC,RC,F,RC,DIC,M
D,K,K,B,D,DIC,K
KX,R,KX,F,KX,SCS,R
C,D,C,B,C,SZS,C
KX,S,S,F,KX,SCS,KX
C,R,R,F,C,DIC,C
K,RC,RC,F,K,SCS,K
D,S,S,B,S,DIC,D
C,M,M,B,C,DIC,M
R,RC,R,F,R,SZS,R
K,KX,K,F,KX,SZS,K
D,M,M,B,D,SCS,M
C,S,S,B,C,SCS,C
KX,RC,KX,F,KX,DIC,RC
K,R,R,B,R,SZS,K
M,S,M,F,S,DIC,M
C,K,C,B,C,JSCA,K
KX,M,KX,B,M,WS,M
D,R,R,F,R,FSK,R
RC,S,RC,F,RC,MCS,RC
K,R,K,F,R,SPS,K
C,D,C,F,C,FSK,C
M,RC,RC,F,M,WS,M
D,K,D,B,K,FSK,K
C,KX,C,F,KX,BBS,C
R,S,R,F,S,SPS,R
KX,RC,RC,F,KX,MCS,RC
D,S,S,F,S,FSK,D
C,M,C,F,C,WS,M
K,KX,K,F,K,BBS,K
R,RC,RC,B,R,MCS,R
M,S,S,B,M,RGIS,M
C,R,R,B,C,JSCA,C
D,RC,D,F,RC,MCS,RC
KX,S,KX,F,KX,RGIS,KX
K,M,K,F,K,BBS,K
D,R,D,F,R,SPS,R
C,RC,C,B,RC,JSCA,C
K,S,S,B,K,RGIS,K
M,R,M,B,M,SPS,R
D,KX,KX,F,KX,FSK,KX
RC,S,RC,B,S,RGIS,RC
C,K,K,F,K,EG,K
KX,M,M,F,M,PCA,M
K,RC,RC,F,K,EG,K
C,S,S,F,S,JSCA,C
D,M,D,F,M,WS,M
KX,R,R,F,KX,PCA,R
C,RC,C,F,C,MCS,C
K,S,K,F,K,EG,K
D,KX,KX,F,KX,PCA,KX
M,R,M,F,M,WS,M
K,KX,KX,F,K,EG,K
C,M,C,F,C,BS,M
C,KX,C,F,KX,WS,C
K,KX,K,F,K,MCS,K
K,M,K,F,K,EG,K
C,D,D,F,C,MACS,C
KX,R,KX,F,R,MCA,R
C,S,C,B,C,MACS,C
K,RC,RC,F,RC,EG,K
D,R,R,F,R,FSK,R
KX,M,M,F,KX,WS,M
RC,S,S,F,S,MCS,RC
M,R,M,B,R,SPS,M
C,K,K,F,K,EG,K
D,KX,KX,B,D,MCA,KX
R,S,R,F,R,YSR,R
C,M,M,B,C,WS,M
D,S,D,B,D,YSR,D
K,KX,K,F,K,MCA,K
C,R,C,B,R,SPS,C
M,RC,RC,F,M,MCS,M
D,K,K,F,K,FSK,K
KX,R,KX,F,KX,SPS,R
K,S,K,F,S,YSR,K
C,RC,RC,F,C,MCS,C
D,M,M,F,D,FSK,M
R,RC,RC,F,RC,SPS,R
M,S,M,B,M,WS,M
C,KX,C,B,C,MACS,C
D,RC,RC,F,RC,FSK,RC
KX,S,KX,F,S,PCA,KX
D,K,K,B,K,EG,K
R,RC,R,F,X,MCS,R
C,K,K,F,C,MACS,K
D,KX,D,F,D,FSK,KX
M,R,R,F,M,WS,M
K,RC,RC,F,RC,MCS,K
C,S,C,F,S,RGIS,C
KX,M,M,B,M,PCA,M
D,R,D,F,R,BS,R
C,RC,C,B,C,MACS,C
K,S,S,F,K,EG,K
D,M,D,B,M,WS,M
KX,RC,KX,F,RC,MCS,RC
R,S,R,F,S,BS,R
C,M,C,B,M,MACS,M
K,KX,KX,B,K,EG,K
D,S,S,B,S,SVN,D
M,RC,RC,B,RC,WS,M
C,R,C,B,C,MACS,C
KX,S,S,B,S,RGIS,KX
C,D,C,B,D,SVN,C
KX,RC,RC,F,KX,PCA,RC
K,M,K,F,M,WS,K
RC,S,S,B,RC,RGIS,RC
C,KX,KX,B,C,PCA,C
K,R,R,B,R,BS,K
D,RC,RC,F,X,MCS,RC
M,S,S,B,M,RGIS,M
C,M,M,B,M,WS,M
R,RC,RC,B,RC,MCA,R
C,RC,C,F,C,JSCA,C
C,M,C,F,M,EG,M
M,RP,M,B,RP,WS,M
D,K,K,F,K,EG,K
G,KX,G,F,G,PCA,KX
RC,S,S,F,RC,MCS,RC
K,M,M,F,M,EG,K
G,RP,RP,B,G,SCA,RP
D,KX,D,F,D,FSK,KX
K,S,S,B,K,RGIS,K
G,M,G,F,G,WS,M
KX,RP,RP,B,KX,PCA,KX
D,RC,D,F,D,MCS,RC
M,S,S,F,S,RGIS,M
K,KX,K,F,K,PCA,K
M,RC,M,F,M,WS,M
G,S,S,F,S,SCA,G
RC,RP,RP,F,RC,MCA,RC
D,M,M,F,D,FSK,M
KX,S,S,F,S,RGIS,KX
G,RC,RC,B,G,SCA,RC
K,RP,K,F,K,MCA,K
KX,M,KX,F,M,PCA,KX
RP,S,RP,F,RP,RGIS,RP
D,G,D,F,G,FSK,D
M,K,M,F,M,WS,K
G,RP,G,F,G,MCA,RP
D,K,K,F,D,FSK,K
RC,S,RC,F,S,RGIS,RC
G,KX,G,F,KX,SCA,KX
M,RP,M,F,M,MCA,M
K,RC,K,F,K,MCS,K
D,G,D,F,D,SCA,D
K,KX,KX,F,K,EG,K
D,RP,RP,F,RP,FSK,RP
G,S,S,F,S,RGIS,G
RC,RP,RC,F,RC,MCS,RC
D,KX,D,F,KX,PCA,KX
M,S,M,F,S,YSR,M
G,K,G,F,G,EG,K
KX,RC,KX,F,RC,PCA,RC
RP,S,S,B,S,YSR,RP
M,RC,M,F,M,MCS,M
D,S,D,F,D,RGIS,D
KX,M,M,B,KX,YSR,M
G,RC,G,F,RC,MCS,RC
K,RP,RP,B,K,EG,K
KX,S,KX,B,S,PCA,KX
D,M,D,F,M,YSR,M
K,RC,RC,F,RC,EG,K
D,RP,RP,F,RP,YSR,RP
KX,RC,KX,F,RC,MCS,RC
G,K,G,F,G,GP,K
D,S,D,F,D,SVN,D
KX,RP,KX,B,RP,YSR,KX
G,M,G,F,G,GP,M
K,S,S,F,K,EG,K
D,RC,RC,F,RC,SVN,RC
G,RC,RC,F,RC,MCS,RC
K,S,K,F,S,FSK,K
G,S,S,F,S,FSK,G
RC,S,S,B,S,MCS,RC
RC,S,RC,F,S,RGIS,RC
M,RP,RP,F,RSP,MCA,M
G,K,K,F,K,SCA,K
D,RC,RC,B,RC,MCS,RC
KX,RP,KX,F,KX,HCS,KX
K,M,M,F,M,WS,K
G,S,S,F,S,RGIS,G
KX,RC,RC,B,KX,HCS,RC
D,RP,RP,F,D,MCA,RP
M,S,M ,F,M,WS,M
K,KX,K,F,K,EG,K
M,RC,M,F,M,MCS,M
G,RP,G,F,G,SCA,RP
K,S,S,F,K,EG,K
D,KX,D,B,D,FSK,KX
G,M,M,F,M,WS,M
RC,RP,RC ,F,RSP,MCS,RC
D,K,D,B,K,FSK,K
KX,S,KX,F,S,RGIS,KX
G ,RC,G ,F,RC,SCA,RC
D,S,S ,B,S,RGIS,D
KX,M,M ,F,M,HCS,M
G,K,G ,F,G,EG,K
RP,S,RP,F,RSP,MCA,RP
D,M,D ,F,M,WS,M
G,KX,G ,F,KX,SCA,KX
K,RC,RC,F,K,EG,K
M,RP,M,F,RSP,WS,M
RC,S,X,X,X,MCS,RC
K,RP,K,F,K,MCA,K
G,RC,G,F,G,MCS,RC
D,K,K,F,K,EG,K
KX,S,KX,F,S,PCAS,KX
RC,RP,RC,F,RSP,MCA,RC
G,M,G,B,M,SCA,M
D,KX,KX,F,KX,PCAS,KX
K,S,K,F,S,RGIS,K
M ,RC,RC,B,M,WS,M
G,RP,RP,F,RSP,MCA,RP
D,S,D,F,D,FSK,D
K,RP,RP,F,RSP,EG,K
D,G,D,F,D,FSK,D
KX,RC,RC,F,KX,MCS,RC
RP,S,S,F,RSP,RGIS,RP
D,M,D,F,M,FSK,M
K,RC,K,F,K,MCS,K
G,KX,G,F,G,PCAS,KX
M,S,M,B,S,RGIS,M
K,KX,K,F,KX,PCAS,K
D,G,D,F,D,GP,D
KX,M,M,F,KX,WS,M
D,RP,D,B,D,FSK,RP
G ,S,S,F,S,GP,G
M,K,K,F,M,EG,K
KX,RP,RP,F,RSP,MCA,KX
D,RC,RC,B,RC,FSK,RC
M,RP,M,F,RSP,WS,M
K,S,K,F,K,MCS,K
K,M,M,F,M,MCS,K
M,RP,M,B,M,RGIS,M
